ORD,EWR
ORD,FCO
ORD,HKG
ORD,JFK
ORD,LAX
ORD,LHR
ORD,MAD
ORD,MAN
ORD,MCO
ORD,MIA
ORD,NRT
ORD,PEK
ORD,PHL
ORD,PHX
ORD,PVG
ORD,SFO
ORD,YYZ
PEK,ORD
PHL,AMS
PHL,ATL
PHL,BCN
PHL,BRU
PHL,CDG
PHL,CLT
PHL,DEN
PHL,DFW
PHL,EWR
PHL,FCO
PHL,FRA
PHL,LAX
PHL,LHR
PHL,LIS
PHL,MAD
PHL,MAN
PHL,MCO
PHL,MIA
PHL,MUC
PHL,ORD
PHL,PHX
PHL,SFO
PHL,YYZ
PHL,ZRH
PHX,ATL
PHX,CLT
PHX,DEN
PHX,DFW
PHX,EWR
PHX,JFK
PHX,LAX
PHX,LHR
PHX,MCO
PHX,MIA
PHX,ORD
PHX,PHL
PHX,SFO
PVG,LAX
PVG,ORD
SFO,CLT
SFO,DFW
SFO,HKG
SFO,JFK
SFO,LAX
SFO,LHR
SFO,MIA
SFO,ORD
SFO,PHL
SFO,PHX
SIN,KUL
SIN,NRT
TPE,NRT
VIE,LHR
YYZ,CLT
YYZ,DFW
YYZ,JFK
YYZ,LAX
YYZ,LHR
YYZ,MCO
YYZ,MIA
YYZ,ORD
YYZ,PHL
ZRH,JFK
