City,Airport,Acronym,Latitude,Longitude,re_check_in
Al Ain,Al Ain International Airport,AAN,24.261699676513672,55.60919952392578,1
Bannu,Bannu Airport,BNP,32.9729,70.527901,1
Bahawalpur,Bahawalpur Airport,BHV,29.348100662231445,71.71800231933594,0
Chitral,Chitral Airport,CJL,35.886600494384766,71.80059814453125,1
Dalbandin,Dalbandin Airport,DBA,28.8782997131,64.3998031616,1
Dera Ghazi Khan,Dera Ghazi Khan Airport,DEA,29.961000442504883,70.48590087890625,0
Dera Ismael Khan,Dera Ismael Khan Airport,DSK,31.909400939941406,70.89659881591797,1
Jiwani,Jiwani Airport,JIW,25.067800521900004,61.8054008484,0
Hyderabad,Hyderabad Airport,HDD,25.3181,68.366096,1
Khuzdar,Khuzdar Airport,KDD,27.790599823,66.6473007202,0
Ormara Raik,Ormara Airport,ORW,25.274700164799995,64.58599853519999,1
Parachinar,Parachinar Airport,PAJ,33.902099609400004,70.0716018677,0
Skardu,Skardu Airport,KDU,35.33549880981445,75.53600311279297,0
Sehwan Sharif,Sehwan Sharif Airport,SYW,26.473100662231445,67.71720123291016,1
Turbat,Turbat International Airport,TUK,25.986400604248047,63.03020095825195,0
Sulaymaniyah,Sulaymaniyah International Airport,ISU,35.5617485046,45.3167381287,1
Kamishly,Kamishly Airport,KAC,37.020599365234375,41.19139862060547,0
Sayun Intl,Sayun International Airport,GXF,15.9660997391,48.78829956049999,0
Adak Island,Adak Airport,ADK,51.87799835205078,-176.64599609375,1
Gustavus,Gustavus Airport,GST,58.4253006,-135.7070007,1
Skagway,Skagway Airport,SGY,59.46009826660156,-135.3159942626953,1
Holy Cross,Holy Cross Airport,HCR,62.18830108642578,-159.77499389648438,0
Haines,Haines Airport,HNS,59.24380111694336,-135.5240020751953,1
Kalskag,Kalskag Airport,KLG,61.53630065917969,-160.34100341796875,0
Mcgrath,McGrath Airport,MCG,62.95289993,-155.6060028,1
Mountain Village,Mountain Village Airport,MOU,62.095401763916016,-163.6820068359375,1
Aniak,Aniak Airport,ANI,61.58160018920898,-159.54299926757812,1
Chevak,Chevak Airport,VAK,61.5409,-165.6005,0
Wrangell,Wrangell Airport,WRG,56.48429871,-132.3699951,1
Balimo,Balimo Airport,OPU,-8.05000019073,142.932998657,1
Baimuru,Baimuru Airport,VMU,-7.49686002731,144.819900513,0
Molokai,Kalaupapa Airport,LUP,21.21100044,-156.973999,0
Eniwetok Atoll,Eniwetok Airport,ENT,11.340700149536133,162.3280029296875,0
Matsu Islands,Matsu Nangan Airport,LZN,26.1598,119.958,1
Hengchun,Hengchun Airport,HCN,22.041099548339844,120.7300033569336,0
Matsu Islands,Matsu Beigan Airport,MFK,26.224199,120.002998,0
Kushiro,Kushiro Airport,KUH,43.0410003662,144.192993164,0
Sapporo,Okadama Airport,OKD,43.117447,141.38134,0
Saga,Saga Airport,HSG,33.149700164799995,130.302001953,0
Nagoya,Nagoya Airport,NKM,35.255001068115234,136.9239959716797,1
Iwami,Iwami Airport,IWJ,34.676399231,131.789993286,1
Fukushima,Fukushima Airport,FKS,37.22740173339844,140.43099975585938,0
Odate Noshiro,Odate Noshiro Airport,ONJ,40.1918983459,140.371002197,0
Shonai,Shonai Airport,SYO,38.81219863889999,139.787002563,0
Miyakejima,Miyakejima Airport,MYE,34.073600769,139.559997559,1
Kunsan,Kunsan Air Base,KUV,35.90380096435547,126.61599731445312,0
Mokpo,Mokpo Heliport,MPK,34.7588996887,126.379997253,1
Wonju,Wonju/Hoengseong Air Base (K-38/K-46),WJU,37.441201,127.963858,1
Sokcho / Gangneung,Yangyang International Airport,YNY,38.061298,128.669006,0
Sacheon,Sacheon Air Base/Airport,HIN,35.088591,128.071747,0
Chongju,Cheongju International Airport/Cheongju Air Base (K-59/G-513),CJJ,36.717008,127.498741,0
Olongapo City,Subic Bay International Airport,SFS,14.794400215148926,120.27100372314452,0
Cuyo,Cuyo Airport,CYU,10.858099937438965,121.06900024414062,1
General Santos City,Rajah Buayan Air Base,\N,6.10644006729,125.23500061,1
Camiguin,Camiguin Airport,CGM,9.253520011901855,124.70700073242188,0
Jolo,Jolo Airport,JOL,6.0536699295043945,121.01100158691406,1
Sanga Sanga,Sanga Sanga Airport,TWT,5.046991,119.742996,1
Sangley Point,Surigao Airport,SUG,9.755838325629998,125.480947495,1
Tandag,Tandag Airport,TDG,9.072110176086426,126.1709976196289,0
Naga,Naga Airport,WNP,13.58489990234375,123.2699966430664,0
Basco,Basco Airport,BSO,20.4513,121.980003,1
San Fernando,San Fernando Airport,SFE,16.595600128173828,120.3030014038086,0
Tuguegarao,Tuguegarao Airport,TUG,17.6433676823,121.733150482,1
Virac,Virac Airport,VRC,13.57639980316162,124.20600128173828,1
Calbayog City,Calbayog Airport,CYP,12.072699546813965,124.54499816894533,0
Catarman,Catarman National Airport,CRM,12.502400398254396,124.63600158691406,0
Masbate,Moises R. Espinosa Airport,MBT,12.369682,123.630095,1
Roxas City,Roxas Airport,RXS,11.597700119018556,122.7519989013672,0
Tartagal,General Enrique Mosconi Airport,TTG,-22.619600296,-63.7937011719,0
Las Heras,Las Heras Airport,LHS,-46.53829956049999,-68.9653015137,1
San Antonio Oeste,Antoine de Saint Exupéry Airport,OES,-40.7512,-65.0343,1
El Calafate,Lago Argentino Airport,ING,-50.336102,-72.248596,1
Gobernador Gregores,Gobernador Gregores Airport,GGS,-48.7831,-70.150002,1
Santa Teresita,Santa Teresita Airport,SST,-36.5423,-56.7218,1
Necochea,Necochea Airport,NEC,-38.4831,-58.8172,0
Juazeiro Do Norte,Orlando Bezerra de Menezes Airport,JDO,-7.21895980835,-39.2700996399,0
Lençóis,Coronel Horácio de Mattos Airport,LEC,-12.4822998047,-41.2770004272,0
Macaé,Macaé Airport,MEA,-22.343000412,-41.7659988403,1
Marília,Frank Miloye Milenkowichi–Marília State Airport,MII,-22.1968994141,-49.926399231,1
Vitória Da Conquista,Vitória da Conquista Airport,VDC,-14.8627996445,-40.8630981445,0
Santa Maria,Santa Maria Airport,RIA,-29.711399,-53.688202,0
Toledo,Toledo Airport,TOW,-24.6863,-53.697498,0
El Salvador,Ricardo García Posada Airport,ESR,-26.31110000610352,-69.76519775390625,0
Pucon,Pucón Airport,ZPC,-39.29280090332031,-71.91590118408203,1
Sorocaba,Sorocaba Airport,SOD,-23.478001,-47.490002,0
San Cristóbal,San Cristóbal Airport,SCY,-0.910206,-89.617401,1
La Toma (Catamayo),Camilo Ponce Enriquez Airport,LOH,-3.99589,-79.371902,0
Esmeraldas,General Rivadeneira Airport,ESM,0.9785190224647522,-79.62660217285156,0
Stanley,Port Stanley Airport,PSY,-51.685699462891,-57.777599334717,0
Cartago,Santa Ana Airport,CRC,4.75818,-75.9557,1
Garzón,La Jagua Airport,\N,2.1464,-75.6944,0
Puerto Leguízamo,Caucaya Airport,LQM,-0.182278,-74.7708,1
La Pedrera,La Pedrera Airport,LPD,-1.32861,-69.5797,1
Nuquí,Reyes Murillo Airport,NQU,5.6964,-77.2806,1
Puerto Inírida,Obando Airport,PDA,3.85353,-67.9062,0
Yopal,El Yopal Airport,EYP,5.31911,-72.384,1
Guayaramerín,Capitán de Av. Emilio Beltrán Airport,GYA,-10.820599556,-65.3455963135,1
Puerto Rico/Manuripi,Puerto Rico Airport,PUR,-11.107663,-67.551155,0
Riberalta,Capitán Av. Selin Zeitun Lopez Airport,RIB,-11.0,-66.0,1
Reyes,Reyes Airport,REY,-14.3044,-67.353401,0
San Borja,Capitán Av. German Quiroga G. Airport,SRJ,-14.85919952392578,-66.73750305175781,0
Paramaribo,Zorg en Hoop Airport,ORG,5.81108,-55.190701,1
Mucuri,Mucuri Airport,MVS,-18.048900604248047,-39.864200592041016,1
Caballococha,Caballococha Airport,\N,-3.91686010361,-70.5082015991,1
Cajamarca,Mayor General FAP Armando Revoredo Iglesias Airport,CJA,-7.1391801834106445,-78.4894027709961,1
Huánuco,Alferez Fap David Figueroa Fernandini Airport,HUU,-9.878809928894045,-76.20480346679688,0
Nazca,Maria Reiche Neuman Airport,NZC,-14.8540000916,-74.9615020752,1
Santa Rosa,Santa Rosa Airport,SRA,-27.9067,-54.520401,1
Maldonado,El Jagüel / Punta del Este Airport,\N,-34.9169998169,-54.9169998169,1
Maracay,Escuela Mariscal Sucre Airport,MYC,10.249978065490724,-67.64942169189453,1
El Vigía,Juan Pablo Pérez Alfonso Airport,VIG,8.624139,-71.672668,1
Ji-Paraná,Ji-Paraná Airport,JPR,-10.8708000183,-61.8465003967,1
Codrington,Codrington Airport,BBQ,17.635799,-61.828602,0
Grande Anse,La Désirade Airport,DSD,16.296902,-61.0844,1
Basse Terre,Baillif Airport,BBR,16.0132999420166,-61.7421989440918,0
St-François,St-François Airport,SFC,16.25779914855957,-61.26250076293945,1
Grand Bourg,Les Bases Airport,GBJ,15.86870002746582,-61.27000045776367,1
Charlestown,Vance W. Amory International Airport,NEV,17.205699920654297,-62.58990097045898,1
Spanish Town,Virgin Gorda Airport,VIJ,18.446399688720703,-64.42749786376953,0
Bequia,J F Mitchell Airport,BQU,12.9884004593,-61.2620010376,1
Union Island,Union Island International Airport,UNI,12.60013484954834,-61.41194534301758,1
Kokshetau,Kokshetau Airport,KOV,53.329102,69.594597,0
Petropavlosk,Petropavlosk South Airport,PPK,54.77470016479492,69.18389892578125,0
Zhezkazgan,Zhezkazgan Airport,DZN,47.708302,67.733299,0
Ust Kamenogorsk,Ust-Kamennogorsk Airport,UKK,50.036598205566406,82.49420166015625,1
Kostanay,Kostanay West Airport,KSN,53.20690155029297,63.55030059814453,1
Ganja,Ganja Airport,KVD,40.737701416015625,46.31760025024414,1
Nakhchivan,Nakhchivan Airport,NAJ,39.18880081176758,45.45840072631836,0
Neryungri,Chulman Airport,NER,56.913898468018,124.91400146484,1
Yakutia,Polyarny Airport,PYJ,66.4003982544,112.029998779,0
Chokurdah,Chokurdakh Airport,CKH,70.62310028076172,147.90199279785156,0
Cherskiy,Cherskiy Airport,CYX,68.7406005859375,161.33799743652344,0
Tiksi,Tiksi Airport,IKS,71.697700500488,128.90299987793,1
Komsomolsk-on-Amur,Komsomolsk-on-Amur Airport,KXK,50.40900039672852,136.9340057373047,0
Anadyr,Ugolny Airport,DYR,64.734902,177.740997,1
Okhotsk,Okhotsk Airport,OHO,59.410064697265625,143.05650329589844,1
Ujae Atoll,Ujae Atoll Airport,UJE,8.92805957794,165.761993408,1
Mariupol International,Mariupol International Airport,MPW,47.07609939575195,37.44960021972656,0
Lugansk,Luhansk International Airport,VSG,48.4174003601,39.3740997314,0
Zaporozhye,Zaporizhzhia International Airport,OZH,47.867000579833984,35.31570053100586,1
Krivoy Rog,Kryvyi Rih International Airport,KWG,48.04330062866211,33.209999084472656,1
Kharkov,Kharkiv International Airport,HRK,49.924800872802734,36.290000915527344,0
Ivano-Frankivsk,Ivano-Frankivsk International Airport,IFO,48.88420104980469,24.68610000610352,1
Chernovtsk,Chernivtsi International Airport,CWC,48.2593002319336,25.98080062866211,1
Rivne,Rivne International Airport,RWN,50.60710144042969,26.141599655151367,0
Uzhgorod,Uzhhorod International Airport,UDJ,48.6343002319336,22.263399124145508,0
Solovetsky Islands,Solovki Airport,CSH,65.0299987793,35.7333335876,0
Cherepovets,Cherepovets Airport,CEE,59.273601532,38.0158004761,0
Amderma,Amderma Airport,AMV,69.76329803466797,61.556400299072266,0
Kotlas,Kotlas Airport,KSZ,61.235801696777344,46.6974983215332,0
Petrozavodsk,Petrozavodsk Airport,PES,61.88520050048828,34.15470123291016,1
Hrodna,Hrodna Airport,GNA,53.60200119018555,24.053800582885746,0
Mogilev,Mogilev Airport,MVQ,53.95489883422852,30.09510040283203,0
Yeniseysk,Yeniseysk Airport,EIE,58.47420120239258,92.1125030517578,0
Kyzyl,Kyzyl Airport,KYZ,51.66939926147461,94.40059661865234,1
Novokuznetsk,Spichenkovo Airport,NOZ,53.811401,86.877197,0
Khatanga,Khatanga Airport,HTG,71.97810363769531,102.49099731445312,0
Igarka,Igarka Airport,IAA,67.43720245361328,86.62190246582031,1
Grozny,Khankala Air Base,\N,43.298099517822266,45.78409957885742,1
Nalchik,Nalchik Airport,NAL,43.51290130615234,43.636600494384766,0
Beslan,Beslan Airport,OGZ,43.2051010132,44.6066017151,0
Elista,Elista Airport,ESL,46.3739013671875,44.33089828491211,1
Aleknagik,Aleknagik / New Airport,WKK,59.2826004028,-158.617996216,1
Bluefield,Mercer County Airport,BLF,37.29579925537109,-81.20770263671875,1
Greenville,Mid Delta Regional Airport,GLH,33.4828987121582,-90.98560333251952,1
Pasco,Tri Cities Airport,PSC,46.26470184326172,-119.11900329589844,1
Akutan,Akutan Seaplane Base,KQA,54.1337704415,-165.778895617,0
Lopez,Lopez Island Airport,LPS,48.4838981628418,-122.93800354003906,1
Salekhard,Salekhard Airport,SLY,66.5907974243164,66.61100006103516,1
Khanty-Mansiysk,Khanty Mansiysk Airport,HMA,61.02849960327149,69.08609771728516,0
Nyagan,Nyagan Airport,NYA,62.110001,65.614998,0
Sovetskiy,Sovetskiy Airport,OVS,61.326622009277344,63.60191345214844,1
Izhevsk,Izhevsk Airport,IJK,56.82809829711914,53.45750045776367,1
Kirov,Pobedilovo Airport,KVX,58.503299713135,49.348300933838,1
Nadym,Nadym Airport,NYM,65.48090362548828,72.69889831542969,0
Raduzhnyi,Raduzhny Airport,RAT,62.1585998535,77.32890319820001,1
Nefteyugansk,Nefteyugansk Airport,NFG,61.10829925537109,72.6500015258789,1
Kurgan,Kurgan Airport,KRO,55.47529983520508,65.41560363769531,1
Khudzhand,Khudzhand Airport,LBD,40.21540069580078,69.6947021484375,0
Andizhan,Andizhan Airport,AZN,40.7276992798,72.2939987183,0
Fergana,Fergana International Airport,FEG,40.3587989807,71.7450027466,1
Namangan,Namangan Airport,NMA,40.9846000671,71.5567016602,0
Nukus,Nukus Airport,NCU,42.488399505615234,59.62329864501953,0
Urgench,Urgench Airport,UGC,41.58430099487305,60.641700744628906,1
Khanabad,Karshi Khanabad Airport,KSQ,38.8335990906,65.9215011597,1
Termez,Termez Airport,TMJ,37.28670120239258,67.30999755859375,1
Rybinsk,Staroselye Airport,RYB,58.10419845581055,38.92940139770508,1
Belgorod,Belgorod International Airport,EGO,50.643798828125,36.5900993347168,0
Kursk,Kursk East Airport,URS,51.7505989074707,36.29560089111328,1
Lipetsk,Lipetsk Airport,LPK,52.70280075073242,39.53779983520508,0
Vorkuta,Vorkuta Airport,VKT,67.48860168457031,63.99309921264648,0
Bugulma,Bugulma Airport,UUA,54.63999938964844,52.801700592041016,1
Yoshkar-Ola,Yoshkar-Ola Airport,JOK,56.70059967041016,47.90470123291016,0
Cheboksary,Cheboksary Airport,CSY,56.09030151367188,47.3473014831543,0
Ulyanovsk,Ulyanovsk East Airport,ULY,54.4010009765625,48.80270004272461,0
Orsk,Orsk Airport,OSW,51.0724983215332,58.59560012817383,0
Penza,Penza Airport,PEZ,53.110599517822266,45.02109909057617,1
Saransk,Saransk Airport,SKX,54.12512969970703,45.21225738525391,0
Balakovo,Balakovo Airport,BWO,51.8582992554,47.7456016541,0
Hubli,Hubli Airport,HBX,15.361700058,75.08489990230001,0
Koggala,Koggala Airport,KCT,5.993680000305176,80.32029724121094,1
Wirawila,Weerawila Airport,WRZ,6.25448989868,81.23519897460001,0
Battambang,Battambang Airport,BBM,13.095600128173828,103.2239990234375,0
Shillong,Shillong Airport,SHL,25.70359992980957,91.97869873046876,1
Guwahati,Lokpriya Gopinath Bordoloi International Airport,GAU,26.10610008239746,91.58589935302734,0
Dimapur,Dimapur Airport,DMU,25.8838996887,93.7711029053,0
Tezpur,Tezpur Airport,TEZ,26.7091007232666,92.78469848632812,1
Barisal,Barisal Airport,BZL,22.801000595092773,90.30120086669922,0
Huay Xai,Ban Huoeisay Airport,HOE,20.2572994232,100.43699646,1
Bharatpur,Bharatpur Airport,BHR,27.678101,84.429398,1
Chandragarhi,Bhadrapur Airport,BDP,26.5708007812,88.07959747310001,1
Meghauli,Meghauli Airport,MEY,27.5774,84.22875,0
Nepalgunj,Nepalgunj Airport,KEP,28.103599548339844,81.66699981689453,1
Gan Island,Gan International Airport,GAN,-0.693342,73.155602,1
Haa Dhaalu Atoll,Hanimaadhoo Airport,HAQ,6.744229793548584,73.17050170898438,1
Laamu Atoll,Kadhdhoo Airport,KDO,1.8591699600219729,73.52189636230469,1
Tak,Mae Sot Airport,MAQ,16.699899673461914,98.54509735107422,0
Buonmethuot,Buon Ma Thuot Airport,BMV,12.668299675,108.120002747,0
Haiphong,Cat Bi International Airport,HPH,20.81940078735352,106.7249984741211,1
Nha Trang,Cam Ranh Airport,CXR,11.99820041656494,109.21900177001952,1
Conson,Co Ong Airport,VCS,8.73183,106.633003,0
Can Tho,Can Tho International Airport,VCA,10.085100174,105.711997986,0
Dienbienphu,Dien Bien Phu Airport,DIN,21.3974990845,103.008003235,0
Phucat,Phu Cat Airport,UIH,13.955,109.042,1
Pleiku,Pleiku Airport,PXU,14.00450038909912,108.01699829101562,1
Vinh,Vinh Airport,VII,18.7376003265,105.67099762,1
Banmaw,Banmaw Airport,BMO,24.268999099731445,97.24620056152344,1
Dawei,Dawei Airport,TVY,14.103899955749512,98.20359802246094,1
Kawthoung,Kawthoung Airport,KAW,10.04930019378662,98.53800201416016,1
Loikaw,Loikaw Airport,LIW,19.691499710083008,97.2147979736328,1
Mawlamyine,Mawlamyine Airport,MNU,16.444700241088867,97.66069793701172,0
Pathein,Pathein Airport,BSX,16.815201,94.7799,0
Pakhokku,Pakhokku Airport,PKK,21.4043,95.11125,1
Sumbawa Island,Sumbawa Besar Airport,SWQ,-8.48904037475586,117.41200256347656,0
Waikabubak-Sumba Island,Tambolaka Airport,TMC,-9.40972,119.244003,0
Bokondini-Papua Island,Bokondini Airport,BUI,-3.6822,138.6755,0
Senggeh-Papua Island,Senggeh Airport,SEH,-3.45,140.779,1
Tanjung Selor-Borneo Island,Tanjung Harapan Airport,TJS,2.83583333333,117.373611111,1
Datadawai-Borneo Island,Datadawai Airport,DTD,0.8106,114.5306,0
Tanjung Redep-Borneo Island,Kalimarau Airport,BEJ,2.1555,117.431999,1
Tanjung-Borneo Island,Warukin Airport,TJG,-2.21655988693,115.435997009,0
Sampit-Borneo Island,Sampit(Hasan) Airport,SMQ,-2.49919009209,112.974998474,1
Langgur-Kei Islands,Dumatumbun Airport,LUV,-5.661620140075684,132.7310028076172,0
Alor Island,Mali Airport,ARD,-8.132340431213379,124.59700012207033,1
Belaga,Belaga Airport,BLG,2.65000009537,113.766998291,1
Long Datih,Long Lellang Airport,LGL,3.42100000381,115.153999329,0
Long Seridan,Long Seridan Airport,ODN,3.9670000076293945,115.0500030517578,1
Mukah,Mukah Airport,MKM,2.90639,112.080002,0
Bakalalan,Bakalalan Airport,BKM,3.973999977111816,115.61799621582033,1
Lawas,Lawas Airport,LWY,4.84917,115.407997,0
Bario,Bario Airport,BBN,3.7338900566101074,115.47899627685548,1
Tomanggong,Tomanggong Airport,TMG,5.40257,118.65763,0
Kudat,Kudat Airport,KUD,6.922500133514404,116.83599853515624,1
Bandar Lampung-Sumatra Island,Radin Inten II (Branti) Airport,TKG,-5.240556,105.175556,0
Jakarta,Halim Perdanakusuma International Airport,HLP,-6.266610145568848,106.89099884033205,1
Ranai-Natuna Besar Island,Ranai Airport,NTX,3.90871,108.388,1
Putussibau-Borneo Island,Pangsuma Airport,PSU,0.8355780243873596,112.93699645996094,1
Sintang-Borneo Island,Sintang(Susilo) Airport,SQG,0.0636190026998519,111.4729995727539,0
Talang Gudang-Sumatra Island,Pendopo Airport,PDO,-3.2860701084136963,103.87999725341795,1
Lhok Seumawe-Sumatra Island,Malikus Saleh Airport,LSW,5.226679801940918,96.95030212402344,1
Pangkor Island,Pulau Pangkor Airport,PKG,4.244719982147217,100.5530014038086,1
Long Bawan-Borneo Island,Long Bawan Airport,LBW,3.9028,115.6921,0
Nunukan-Nunukan Island,Nunukan Airport,NNX,4.13333333333,117.666666667,0
Long Apung-Borneo Island,Long Apung Airport,LPU,1.704486,114.970297,1
Albany,Albany Airport,ALH,-34.94329833984375,117.80899810791016,0
Argyle,Argyle Airport,GYL,-16.6369,128.451004,0
Aurukun,Aurukun Airport,AUU,-13.354067,141.72065,0
Barcaldine,Barcaldine Airport,BCI,-23.5652999878,145.307006836,1
Badu Island,Badu Island Airport,BDD,-10.1499996185,142.1734,0
Birdsville,Birdsville Airport,BVI,-25.897499084472656,139.34800720214844,0
Broken Hill,Broken Hill Airport,BHQ,-32.0013999939,141.472000122,1
Hamilton Island,Hamilton Island Airport,HTI,-20.3581008911,148.95199585,1
Bedourie,Bedourie Airport,BEU,-24.346099853515625,139.4600067138672,0
Bourke,Bourke Airport,BRK,-30.03919982910156,145.95199584960938,0
Burketown,Burketown Airport,BUC,-17.748600006103516,139.53399658203125,0
Boigu,Boigu Airport,GIC,-9.23278045654,142.218002319,0
Oakey,Oakey Airport,OKY,-27.411399841308597,151.73500061035156,1
Boulia,Boulia Airport,BQL,-22.913299560546875,139.89999389648438,0
Bathurst,Bathurst Airport,BHS,-33.4094009399,149.651992798,1
Blackwater,Blackwater Airport,BLT,-23.603099822998047,148.8070068359375,1
Carnarvon,Carnarvon Airport,CVQ,-24.880211,113.67174,1
Cobar,Cobar Airport,CAZ,-31.538299560546875,145.79400634765625,0
Coober Pedy,Coober Pedy Airport,CPD,-29.040000915527344,134.7209930419922,0
Coconut Island,Coconut Island Airport,CNC,-10.050000190734863,143.07000732421875,1
Cloncurry,Cloncurry Airport,CNJ,-20.6686000824,140.503997803,1
Ceduna,Ceduna Airport,CED,-32.13059997558594,133.7100067138672,1
Cooktown,Cooktown Airport,CTN,-15.444700241088867,145.1840057373047,1
Cunnamulla,Cunnamulla Airport,CMA,-28.030000686645508,145.6219940185547,1
Coonamble,Coonamble Airport,CNB,-30.983299255371094,148.37600708007812,1
Coen,Coen Airport,CUQ,-13.761133,143.113311,1
Cooma,Cooma Snowy Mountains Airport,OOM,-36.3005981445,148.973999023,0
Doomadgee,Doomadgee Airport,DMD,-17.9403,138.822006,0
Darnley Island,Darnley Island Airport,NLF,-9.583330154418944,143.76699829101562,1
Devonport,Devonport Airport,DPO,-41.1697006226,146.429992676,0
Elcho Island,Elcho Island Airport,ELC,-12.019399642899998,135.570999146,0
Esperance,Esperance Airport,EPR,-33.684399,121.822998,0
Flinders Island,Flinders Island Airport,FLS,-40.0917015076,147.992996216,0
Geraldton,Geraldton Airport,GET,-28.796101,114.707001,1
Gladstone,Gladstone Airport,GLT,-23.869699,151.223007,0
Groote Eylandt,Groote Eylandt Airport,GTE,-13.9750003815,136.460006714,1
Griffith,Griffith Airport,GFF,-34.2508010864,146.067001343,1
Horn Island,Horn Island Airport,HID,-10.586400032,142.289993286,0
Hooker Creek,Hooker Creek Airport,HOK,-18.3367004395,130.638000488,1
Mount Hotham,Mount Hotham Airport,MHU,-37.0475006104,147.333999634,0
Hughenden,Hughenden Airport,HGD,-20.815000534057617,144.22500610351562,0
Julia Creek,Julia Creek Airport,JCK,-20.66830062866211,141.72300720214844,1
Kalbarri,Kalbarri Airport,KAX,-27.692813,114.259169,0
King Island,King Island Airport,KNS,-39.87749862670898,143.8780059814453,0
Kalkgurung,Kalkgurung Airport,KFG,-17.431900024414062,130.80799865722656,1
Karumba,Karumba Airport,KRB,-17.45669937133789,140.8300018310547,0
Kowanyama,Kowanyama Airport,KWM,-15.485600471496582,141.75100708007812,1
Kubin,Kubin Airport,KUG,-10.2250003815,142.218002319,0
Leonora,Leonora Airport,LNO,-28.87809944152832,121.31500244140624,0
Lake Evella,Lake Evella Airport,LEL,-12.498900413513184,135.80599975585938,1
Lord Howe Island,Lord Howe Island Airport,LDH,-31.5382995605,159.07699585,0
Lockhart River,Lockhart River Airport,IRG,-12.7869,143.304993,1
Lismore,Lismore Airport,LSY,-28.8302993774,153.259994507,1
Lightning Ridge,Lightning Ridge Airport,LHG,-29.45669937133789,147.98399353027344,0
Longreach,Longreach Airport,LRE,-23.4342002869,144.279998779,0
Leinster,Leinster Airport,LER,-27.843299865722656,120.7030029296875,1
Laverton,Laverton Airport,LVO,-28.61359977722168,122.42400360107422,1
Mabuiag Island,Mabuiag Island Airport,UBB,-9.949999809265137,142.18299865722656,0
Meekatharra,Meekatharra Airport,MKR,-26.6117000579834,118.5479965209961,0
Merimbula,Merimbula Airport,MIM,-36.9085998535,149.901000977,0
Milingimbi,Milingimbi Airport,MGT,-12.0944004059,134.893997192,0
Maningrida,Maningrida Airport,MNG,-12.0560998917,134.23399353,0
McArthur River Mine,McArthur River Mine Airport,MCV,-16.4424991608,136.083999634,0
Mildura,Mildura Airport,MQL,-34.229198455799995,142.085998535,0
Mount Magnet,Mount Magnet Airport,MMG,-28.116100311279297,117.84200286865234,1
Moree,Moree Airport,MRZ,-29.4988994598,149.845001221,1
Moranbah,Moranbah Airport,MOV,-22.057800293,148.07699585,1
Moruya,Moruya Airport,MYA,-35.8978004456,150.143997192,0
Mount Gambier,Mount Gambier Airport,MGB,-37.745601654052734,140.78500366210938,0
Mornington Island,Mornington Island Airport,ONG,-16.662500381469727,139.17799377441406,1
Murray Island,Murray Island Airport,MYI,-9.91666984558,144.054992676,0
Maryborough,Maryborough Airport,MBH,-25.5133,152.714996,0
Narrandera,Narrandera Airport,NRA,-34.7022018433,146.511993408,1
Narrabri,Narrabri Airport,NAA,-30.3192005157,149.82699585,1
Normanton,Normanton Airport,NTN,-17.68409,141.069664,1
Newman,Newman Airport,ZNE,-23.4178009033,119.803001404,1
Olympic Dam,Olympic Dam Airport,OLP,-30.4850006104,136.876998901,1
Argyle,Port Augusta Airport,PUG,-32.50690078735352,137.7169952392578,0
Palm Island,Palm Island Airport,PMK,-18.755300521850582,146.58099365234375,1
Paraburdoo,Paraburdoo Airport,PBO,-23.1711006165,117.745002747,0
Cocos Keeling Island,Cocos (Keeling) Islands Airport,CCK,-12.1883001328,96.8339004517,0
Gove,Gove Airport,GOV,-12.269399642899998,136.817993164,1
Parkes,Parkes Airport,PKE,-33.131401062,148.238998413,1
Port Lincoln,Port Lincoln Airport,PLO,-34.6053009033,135.880004883,1
Pormpuraaw,Pormpuraaw Airport,EDR,-14.896451,141.60908,1
Port Macquarie,Port Macquarie Airport,PQQ,-31.4358005524,152.863006592,0
Portland,Portland Airport,PTJ,-38.31809997558594,141.4709930419922,1
Quilpie,Quilpie Airport,ULP,-26.612199783325195,144.2530059814453,0
Ramingining,Ramingining Airport,RAM,-12.356399536132812,134.8979949951172,1
Roma,Roma Airport,RMA,-26.545000076300003,148.774993896,0
St George,St George Airport,SGO,-28.049699783325195,148.59500122070312,1
Shark Bay,Shark Bay Airport,MJK,-25.8938999176,113.577003479,1
Saibai Island,Saibai Island Airport,SBR,-9.378330230710002,142.625,1
Strahan,Strahan Airport,SRN,-42.15499877929688,145.29200744628906,0
Thargomindah,Thargomindah Airport,XTG,-27.986400604248047,143.81100463867188,1
Tennant Creek,Tennant Creek Airport,TCA,-19.6343994140625,134.18299865722656,0
Victoria River Downs,Victoria River Downs Airport,VCD,-16.402124404907227,131.00497436523438,0
Sue Islet,Warraber Island Airport,SYU,-10.20829963684082,142.8249969482422,0
Windorah,Windorah Airport,WNR,-25.41309928894043,142.66700744628906,1
Whyalla,Whyalla Airport,WYA,-33.05889892578125,137.51400756835938,1
Wiluna,Wiluna Airport,WUN,-26.629199981689453,120.22100067138672,1
Wollongong,Wollongong Airport,WOL,-34.56110000610352,150.78900146484375,0
Winton,Winton Airport,WIN,-22.36359977722168,143.08599853515625,1
Burnie,Wynyard Airport,BWT,-40.9989013671875,145.7310028076172,0
Yorke Island,Yorke Island Airport,OKR,-9.752801,143.405673,0
Yam Island,Yam Island Airport,XMY,-9.90110969543457,142.7760009765625,0
