City,Airport,Acronym,Latitude,Longitude,re_check_in
Fort Chipewyan,Fort Chipewyan Airport,YPY,58.7672004699707,-111.11699676513672,1
Muskoka,Muskoka Airport,YQA,44.974700927734375,-79.30329895019531,1
Quebec,Quebec Jean Lesage International Airport,YQB,46.7911,-71.393303,0
Red Deer Industrial,Red Deer Regional Airport,YQF,52.18220138549805,-113.8939971923828,0
Windsor,Windsor Airport,YQG,42.27560043334961,-82.95559692382812,0
Watson Lake,Watson Lake Airport,YQH,60.11640167236328,-128.82200622558594,1
Kenora,Kenora Airport,YQK,49.78829956054688,-94.36309814453124,1
Lethbridge,Lethbridge County Airport,YQL,49.6302986145,-112.800003052,0
Moncton,Greater Moncton International Airport,YQM,46.11220169067383,-64.67859649658203,0
Comox,Comox Airport,YQQ,49.71080017089844,-124.88700103759766,0
Regina,Regina International Airport,YQR,50.43190002441406,-104.66600036621094,0
Thunder Bay,Thunder Bay Airport,YQT,48.37189865112305,-89.32389831542969,1
Grande Prairie,Grande Prairie Airport,YQU,55.1796989441,-118.885002136,0
Yorkton,Yorkton Municipal Airport,YQV,51.26470184326172,-102.46199798583984,0
North Battleford,North Battleford Airport,YQW,52.76919937133789,-108.24400329589844,0
Gander,Gander International Airport,YQX,48.9369010925293,-54.56809997558594,1
Sydney,Sydney / J.A. Douglas McCurdy Airport,YQY,46.1614,-60.047798,0
Quesnel,Quesnel Airport,YQZ,53.026100158691406,-122.51000213623048,1
Resolute,Resolute Bay Airport,YRB,74.7169036865,-94.9693984985,0
Riviere Du Loup,Rivière-du-Loup Airport,YRI,47.76440048217773,-69.58470153808594,0
Roberval,Roberval Airport,YRJ,48.52000045776367,-72.2656021118164,1
Rocky Mountain House,Rocky Mountain House Airport,YRM,52.4296989441,-114.903999329,1
Rankin Inlet,Rankin Inlet Airport,YRT,62.8114013672,-92.1157989502,0
Sudbury,Sudbury Airport,YSB,46.625,-80.79889678955078,0
Sherbrooke,Sherbrooke Airport,YSC,45.4385986328125,-71.69139862060547,1
St. John,Saint John Airport,YSJ,45.31610107421875,-65.89029693603516,1
Fort Smith,Fort Smith Airport,YSM,60.020301818847656,-111.96199798583984,1
Nanisivik,Nanisivik Airport,YSR,72.982201,-84.613602,1
Summerside,Summerside Airport,YSU,46.44060134887695,-63.83359909057617,1
Sachs Harbour,Sachs Harbour (David Nasogaluak Jr. Saaryuaq) Airport,YSY,71.9938964844,-125.242996216,1
Cape Dorset,Cape Dorset Airport,YTE,64.2300033569,-76.5267028809,1
Thompson,Thompson Airport,YTH,55.80110168457031,-97.86419677734376,1
Trenton,CFB Trenton,YTR,44.118900299072266,-77.5280990600586,1
Timmins,Timmins/Victor M. Power,YTS,48.5696983337,-81.376701355,0
Toronto,Billy Bishop Toronto City Centre Airport,YTZ,43.627499,-79.396202,0
Tuktoyaktuk,Tuktoyaktuk Airport,YUB,69.43329620361328,-133.0260009765625,1
Montreal,Montreal / Pierre Elliott Trudeau International Airport,YUL,45.4706001282,-73.7407989502,1
Repulse Bay,Repulse Bay Airport,YUT,66.5214004517,-86.22470092770001,1
Hall Beach,Hall Beach Airport,YUX,68.77610015869999,-81.2425,1
Rouyn,Rouyn Noranda Airport,YUY,48.20610046386719,-78.83560180664062,1
La Ronge,La Ronge Airport,YVC,55.1514015198,-105.262001038,1
Vermillion,Vermilion Airport,YVG,53.3558006287,-110.823997498,0
Broughton Island,Qikiqtarjuaq Airport,YVM,67.5457992554,-64.03140258789999,0
Val D'or,Val-d'Or Airport,YVO,48.0532989502,-77.7827987671,1
Quujjuaq,Kuujjuaq Airport,YVP,58.096099853515625,-68.4269027709961,0
Norman Wells,Norman Wells Airport,YVQ,65.28160095214844,-126.7979965209961,1
Vancouver,Vancouver International Airport,YVR,49.193901062,-123.183998108,1
Buffalo Narrows,Buffalo Narrows Airport,YVT,55.8418998718,-108.417999268,0
Wiarton,Wiarton Airport,YVV,44.7458,-81.107201,0
Petawawa,Petawawa Airport,YWA,45.95220184326172,-77.31919860839844,1
Winnipeg,Winnipeg / James Armstrong Richardson International Airport,YWG,49.9099998474,-97.2398986816,1
Wabush,Wabush Airport,YWK,52.92190170288086,-66.8644027709961,0
Williams Lake,Williams Lake Airport,YWL,52.1831016541,-122.054000854,0
Wrigley,Wrigley Airport,YWY,63.20940017700195,-123.43699645996094,0
Cranbrook,Cranbrook/Canadian Rockies International Airport,YXC,49.610801696777,-115.78199768066,1
Edmonton,Edmonton City Centre (Blatchford Field) Airport,YXD,53.5724983215,-113.521003723,0
Saskatoon,Saskatoon John G. Diefenbaker International Airport,YXE,52.17079925537109,-106.6999969482422,1
Medicine Hat,Medicine Hat Airport,YXH,50.01890182495117,-110.72100067138672,1
Fort Saint John,Fort St John Airport,YXJ,56.23809814453125,-120.73999786376952,1
Sioux Lookout,Sioux Lookout Airport,YXL,50.11389923095703,-91.9052963256836,1
Pangnirtung,Pangnirtung Airport,YXP,66.1449966431,-65.71360015869999,1
Earlton,Earlton (Timiskaming Regional) Airport,YXR,47.6974006546,-79.8473453522,0
Prince George,Prince George Airport,YXS,53.8894004822,-122.679000854,1
Terrace,Northwest Regional Airport Terrace-Kitimat,YXT,54.468498,-128.576009,0
London,London Airport,YXU,43.035599,-81.1539,1
Abbotsford,Abbotsford Airport,YXX,49.025299072265625,-122.36100006103516,1
Whitehorse,Whitehorse / Erik Nielsen International Airport,YXY,60.7095985413,-135.067001343,0
North Bay,North Bay Jack Garland Airport,YYB,46.363602,-79.422798,0
Calgary,Calgary International Airport,YYC,51.113899231,-114.019996643,0
Smithers,Smithers Airport,YYD,54.82469940185547,-127.18299865722656,0
Fort Nelson,Fort Nelson Airport,YYE,58.8363990784,-122.597000122,1
Penticton,Penticton Airport,YYF,49.46310043334961,-119.60199737548828,1
Charlottetown,Charlottetown Airport,YYG,46.290000915527344,-63.12110137939453,1
Spence Bay,Taloyoak Airport,YYH,69.5466995239,-93.5766983032,1
Victoria,Victoria International Airport,YYJ,48.646900177,-123.426002502,0
Lynn Lake,Lynn Lake Airport,YYL,56.86389923095703,-101.07599639892578,0
Swift Current,Swift Current Airport,YYN,50.2919006348,-107.691001892,1
Churchill,Churchill Airport,YYQ,58.739200592041016,-94.06500244140624,1
Goose Bay,Goose Bay Airport,YYR,53.3191986084,-60.4258003235,1
St. John's,St. John's International Airport,YYT,47.618598938,-52.7518997192,0
Kapuskasing,Kapuskasing Airport,YYU,49.41389846801758,-82.46749877929688,1
Armstrong,Armstrong Airport,YYW,50.29029846191406,-88.90969848632812,0
Mont Joli,Mont Joli Airport,YYY,48.60860061645508,-68.20809936523438,0
Toronto,Lester B. Pearson International Airport,YYZ,43.6772003174,-79.63059997559999,1
Toronto,Downsview Airport,YZD,43.74250030517578,-79.4655990600586,0
Gore Bay,Gore Bay Manitoulin Airport,YZE,45.88529968261719,-82.56780242919922,0
Yellowknife,Yellowknife Airport,YZF,62.462799072265625,-114.44000244140624,1
